masked_celphone_number,hashed_celphone_number,date,text,carrier
+63917****846,cef133b0-06ed-367b-acfd-bb8b7dc6ceb6,40:07.1,"
Late nights just got better! 🌃🍹


Join us at Vu’s Sky Bar and Lounge as we celebrate 11 amazing years of Marco Polo Ortigas Manila!


Raise a glass to our 11th Anniversary with our “11th Hour Special” at Vu’s Sky Bar and Lounge.
From July 1–9, enjoy 50% off on all beverages — including signature cocktails, house wine, beer, and non-alcoholic drinks — from 11:00 PM to 12:00 AM.
Order at least one food item per table to unlock this exclusive treat.

Experience refined evenings high above the city.
#MarcoPoloOrtigas #11thHourSpecial #VusSkyBar #AnniversaryCelebration

",Globe/TM
GCash,87dc2d93-ee1b-3de9-9b17-2d0e968aaef9,08:11.1,"You receive P5,000 from DSWD Ayuda Sa Kapos Ang Kita via GCash. Confirm today https://bit.ly/Gcash-X or it will be forfeited bukas.",<unknown>
SMART,cc3f41e6-0ebd-3320-9c03-d9c56dc26fe8,55:05.3,"Smart reminds you:Your Reward Points (6,309) expire today.Please redeem you gift soon:https://smartit.qpon/rewards",<unknown>
+63917****846,cef133b0-06ed-367b-acfd-bb8b7dc6ceb6,19:38.8,"Feel the rhythm in the sky! 🎶Here at Vu’s Sky Bar & Lounge Marco Polo Hotel, Ortigas Manila.
 Rock band on June 20th at 9 PM! Don't miss the vibe.

Reserve your spot now!

Kit Miculob
Vu's Receptionist
",Globe/TM
+63917****846,cef133b0-06ed-367b-acfd-bb8b7dc6ceb6,27:29.9,"
Celebrate Independence Day at Vu's Bar Sky Bar & Lounge!

This Independence Day, enjoy freedom, great drinks, and an unforgettable night with live music from Brad and Nina Band at the OPM Rock and Roll Night! 🎶

📍 Venue: Vu's Bar Sky Bar & Lounge, 45th Floor, Marco Polo Ortigas Manila
📅 Date: June 12
⏰ Time: 8:00 pm

Don't miss out on a night full of fun, great vibes, and amazing views! 🍹",Globe/TM
+63917****846,cef133b0-06ed-367b-acfd-bb8b7dc6ceb6,31:04.3,"Barbie Almalbis Live at Vu’s Bar and Lounge! ✨🎸

Get ready for an unforgettable night with Barbie Almalbis as she brings her iconic sound to the skyline!

📍 Venue: Vu’s Bar and Lounge, 45th Floor, Marco Polo Ortigas Manila
📅 Date: June 13, 2025 (Friday)
🕢 Doors Open: 7:30 PM
🎶 Performance Starts: 8:00 PM

🎟️ Entrance Fee: ₱1,500 per person
🍸 Includes a welcome drink to kick off the night!

Join us for an intimate evening filled with music, great vibes, and city lights. Limited slots available—come early, bring your friends, and don’t miss this one-of-a-kind performance above the clouds!

#BarbieAlmalbisLive #VusBarAndLounge #MarcoPoloOrtigas #LiveMusicManila #OPMNight
",Globe/TM
GLOBE,b4440a5b-996e-329b-9151-c0c600037802,09:39.9,"GLOBE reminds you that your reward points (5,340) will expire today. Please visit to redeem your favorite gift: https://globeuc-ph.com",<unknown>
GLOBE,b4440a5b-996e-329b-9151-c0c600037802,35:29.2,"GLOBE reminds you that your reward points (5,340) will expire today. Please visit to redeem your favorite gift: rewardsbk.com/ph",<unknown>
GLOBE,b4440a5b-996e-329b-9151-c0c600037802,03:10.4,"GLOBE reminds you that your reward points (5,340) will expire today. Please visit to redeem your favorite gift: https://glocbe-ph.com",<unknown>
GLOBE,b4440a5b-996e-329b-9151-c0c600037802,31:19.6,"GLOBE reminds you that your reward points (5,340) will expire today. Please visit to redeem your favorite gift: https://globpe-ph.com",<unknown>
